STA,ROUTE,LOCATION,CJan19,CFeb19,CMar19,CApr19,CMay19,CJune19,CJul19,CAug19,CSep19,COct19,CNov19,CDec19,CJan20,CFeb20,CMar20,FID
37,COUNTY ROAD,NORTH OF SUPERIOR,54,56,54,73,73,97,88,82,84,108,90,66,69,69,66,96189
15,COUNTY ROAD,NORTH OF CHAPPELL,71,60,54,83,81,93,121,85,90,87,111,67,72,69,64,45129
11,COUNTY ROAD,EAST OF STROMSBURG,224,204,229,298,324,309,297,273,269,290,269,242,209,234,243,68736
50,N96,NORTHWEST OF BURWELL,279,253,312,415,732,955,1186,857,610,421,342,266,258,303,332,34567
51,COUNTY ROAD,WEST OF STAPLEHURST,268,254,327,366,337,335,325,310,321,337,327,288,256,271,264,62211
52,COUNTY ROAD,SOUTH OF HENDERSON,341,330,375,447,432,437,409,393,434,428,377,360,355,395,325,59014
13,COUNTY ROAD,EAST OF PICKRELL,312,278,334,430,462,475,433,409,400,440,415,367,304,360,354,65927
3,N4,WEST OF DAVENPORT,391,412,554,617,610,640,573,539,563,638,520,477,431,498,455,2187
19,US6,NEBR-COLO STATE LINE,520,447,504,594,615,689,699,720,675,675,561,537,523,486,471,3111
1,N88,N.E. OF HARRISBURG,624,591,580,737,842,916,985,949,909,796,705,648,664,613,570,37977
14,N7,SOUTH OF AINSWORTH,594,525,569,665,737,814,812,776,795,757,719,655,611,637,638,5044
48,US20,S.E. OF VALENTINE,653,608,585,813,946,1075,1082,1009,955,846,758,702,684,714,612,13500
30,N121,EAST OF GAVINS PT DAM,1104,1123,1142,1330,1908,2097,2213,1961,1571,1429,1159,1065,936,1122,1153,43442
12,N9,NORTH OF WEST POINT,1303,1229,1299,1503,1599,1637,1519,1581,1570,1593,1386,1401,1292,1363,1191,5978
34,US83,SOUTH OF NORTH PLATTE,1770,1653,1797,2083,2138,2272,2127,2083,2120,2016,1834,1803,1794,1825,1646,36382
8,US20,EAST OF CHADRON,1857,1765,1763,2090,2287,2478,2453,2400,2373,2117,1993,1908,1894,1832,1713,10554
60,US20,WEST OF LAUREL,1507,1466,1717,1943,2086,2230,2189,2142,2141,2291,2017,1946,1724,1885,1781,104566
57,US6,EAST OF ARAPAHOE,1797,1683,1966,2311,2353,2450,2323,2275,2265,2255,2015,2012,1863,1922,1763,2553
9,N2 & 92,WEST OF BROKEN BOW,2236,2179,2342,2693,3008,3192,3191,3079,2987,2815,2521,2354,2319,2384,2212,663
10,US6 & 34,WEST OF ARAPAHOE,2179,2056,2365,2628,2689,2844,2612,2605,2565,2530,2324,2373,2176,2262,2058,102701
58,US6,WEST OF HOLDREDGE,2141,2053,2307,2578,2759,2756,2591,2625,2598,2639,2441,2490,2197,2336,2078,3245
2,US30,WEST OF ELM CREEK,2478,2408,2590,2812,2948,3091,2772,2873,2897,2898,2652,2595,2472,2678,2329,15402
44,14TH AVENUE,"CITY STREET, HOLDREDGE",3341,3336,3490,3339,3319,3095,2884,3165,3140,3155,2985,3152,3229,3185,2782,90854
35,US281,SOUTH OF HASTINGS,2957,2883,3197,3620,3833,4017,3880,3697,3629,3600,3246,3216,2997,3210,2938,66238
64,US81,SOUTH OF HEBRON,3532,3395,4270,4581,4815,5207,4895,4667,4406,4396,4184,4211,3639,3720,3788,35218
47,US275,WEST OF NORFOLK,3927,3807,3895,4613,4995,5063,4932,4910,4783,4671,4458,4346,4072,4421,3820,62178
42,21ST AVENUE,"CITY ST, SCOTTSBLUFF",4623,4506,4344,4849,5214,5172,5119,5118,5342,5607,4709,4403,4496,4531,4369,93387
6,US75,SOUTH OF UNION,3176,3243,5499,8871,6908,8473,6463,4957,5607,5127,4525,4453,3742,4295,3827,30863
71,N50,SOUTH OF MANLEY,3897,3826,4510,5028,5154,5377,5201,5274,4992,5164,4621,4476,3874,4277,3832,25837
61,US30,WEST OF ARLINGTON,4657,4658,4753,5591,5829,6129,5820,5757,5617,5374,4962,4811,4436,4938,4301,17246
59,US81,S OF JCT N98 TO PIERCE,3806,3744,5491,8453,7913,7069,6173,5866,5704,5782,5205,5017,4522,4292,3778,30921
39,US281,S.E. OF SAINT PAUL,4484,4336,5981,5809,5952,6069,6040,5935,5928,5185,5147,5022,4690,5098,4416,69539
33,US81,SOUTH OF GENEVA,4540,4489,5415,6049,6266,6712,6322,6016,5763,5695,5404,5402,4734,5022,4873,108932
21,US26,EAST OF SCOTTSBLUFF,5294,5234,4930,5758,5990,6160,5877,6029,5927,5619,5343,5538,5568,5465,5077,13563
41,US81,S OF JCT N13 TO HADAR,7771,7813,7690,9097,8662,7838,6971,6736,6580,6820,6093,5795,5329,8260,7717,31839
31,I80,EAST OF CHAPPELL INTG,5517,5217,5930,6600,7514,8212,8664,8762,8562,7609,6221,6122,5300,5316,5916,33625
53,I80,EAST OF SIDNEY INTG,5730,5373,6122,6438,7805,8561,9098,9307,9072,7986,6481,6205,5685,5766,6313,28346
27,I76,NEBR-COLO STATE LINE,5960,5589,6363,6689,8112,8895,9451,9670,8950,7673,6306,6452,5220,5375,6202,27110
67,I80,PINE BLUFF INTG,6234,5845,6660,7004,8491,9314,9899,10126,9781,8688,7179,6691,6368,6255,6477,28319
7,US20,W. OF SOUTH SIOUX CITY,5189,4854,5539,6107,6369,6759,6647,6682,7300,7846,7175,6811,5363,5774,5275,11887
16,16 & 17TH STS,"CITY STREETS, LINCOLN",11057,11533,11632,12116,11528,11156,10762,11630,11898,11848,11066,10206,10318,11375,9387,81664
63,US77,SOUTH OF LINCOLN,10242,10693,11962,13316,13056,13162,12364,12409,12345,12889,11506,10815,10438,11716,10383,32213
65,N2,EAST OF BENNET CORNER,9533,9509,10373,10500,11439,10548,9522,12856,13117,12773,11993,11479,10007,11078,10055,1814
4,US77 & 275,NORTH OF FREMONT,10418,10105,9916,13124,13681,14384,13663,13513,13643,13478,12604,12301,10702,11796,9958,28567
23,US75 (30TH ST),"CITY ROUTE, OMAHA",13218,13113,15882,16596,16241,16909,15100,15504,16131,15539,14158,13645,12807,14252,12120,31151
43,I80,W. OF SUTHERLAND INTG,12139,11344,13677,14265,17807,19770,21311,20708,18725,16074,13483,13767,11874,11591,12903,29531
32,I680 (MORMON BRIDGE),NEBR-IOWA STATE LINE,13845,13470,15286,16310,16920,17138,16341,16977,16829,16694,15433,15310,13330,14823,12939,97756
20,I80,EAST OF OVERTON INTG,13943,13086,15751,16419,19968,22396,23896,23262,21510,19071,16146,16058,14189,14246,15082,29857
29,US30,"CITY RT, GRAND ISLAND",16954,17170,18197,19541,18947,19339,18725,19303,18911,18331,17335,17696,16887,18244,16329,105600
62,US281,"CITY RT, GRAND ISLAND",17417,16685,19292,20072,20192,20750,19346,19822,19721,18770,17118,18069,16157,18840,16275,63928
54,I80,EAST OF E KEARNEY INTG,17619,16594,20735,21526,24673,26884,28179,27338,25821,23537,20422,20150,17837,18520,18783,33922
45,I80,WEST OF AURORA INTG,17935,17026,21461,22509,26124,28264,29215,29109,27763,24968,21618,21306,18217,19261,18950,108661
5,US6,NORTH OF GRETNA,18873,18530,21745,24350,24966,26049,25192,25192,24700,24565,22123,21725,19643,21326,17344,103015
36,I129,NEBR-IOWA STATE LINE,20897,20566,23235,24781,25708,26043,24832,25800,25577,25373,23461,23349,21029,22952,20948,39033
38,I80,WEST OF SEWARD INTG,22457,20579,26017,27056,30762,32676,33433,33426,31923,29440,26328,25876,21992,23414,22419,30233
25,N64 (AT 160TH ST),"CITY ROUTE, OMAHA",24698,24479,27958,29262,30554,28485,27879,27503,25807,26706,26450,27894,24336,26163,22199,23854
55,I80,EAST OF MILFORD INTG,25510,24546,30019,31515,35185,37052,37481,37577,36505,33654,29837,28974,24836,27021,25553,29029
46,I180,"CITY ROUTE, LINCOLN",28808,29747,32781,34294,33905,33650,32826,34957,34414,34339,31879,30258,29564,33286,26878,53406
28,US34 (AT 44TH ST),"CITY ROUTE, LINCOLN",36923,37905,41059,42672,41429,40809,38766,41498,42533,42110,40843,39857,37225,41394,34139,19584
56,I80,WEST OF GRETNA,40701,39739,50456,53222,57627,60071,60636,58399,56480,53928,49291,46467,40652,46351,39241,34431
26,US75 (N. OF JCT N370),BELLEVUE,43697,44687,47802,54178,52031,53274,51325,51494,51507,51425,49172,48130,45511,50787,42380,28968
17,I80,NORTHEAST OF N50 INTG,64983,64428,77530,83704,86587,87567,85928,86662,84607,85077,76664,74015,67319,74903,63071,30612
40,I680 (N. OF DODGE ST),"CITY ROUTE, OMAHA",84955,83004,93617,99614,99505,98213,90592,94501,94549,96459,90620,88965,83533,91664,76587,95207
24,I80 (AT 42ND ST),"CITY ROUTE, OMAHA",157563,156053,176207,185003,187582,193199,183506,188143,185257,184083,173722,170691,158251,177013,143191,30643
69,I80,EAST OF NORTH PLATTE,,,,,,,,,,,,,12749,12811,13885,
70,I480 (AT LEAVENWORTH),"I480, OMAHA",,,,,,,,,,,,,89678,100779,79312,